,RequiredQual,Eligibility,Title,JobDescription,JobRequirment
731,"Knowledge of XML, XSL, Java, C#, C++; Knowledge of Python is welcome; Knowledge of net protocols, CVS, Unix, Windows.",Everybody,Programmer,,"- To organize and manage technologically the staff of programmers;
- To cooperate cunstructively with the leaders of the company as well as
with the customers and other developers in planning the work and
activities of the organization;
- To test the production within the standards of the company;
- To realize technological and architechtural designing of the
production;
- To test and teach the newcommers, prepare promissing engeneers for the
company;
- To realize personally a part of a development process of the
production, and programming."
770,"Professional skills: Advanced knowledge of OOP; Professional work experience in projects as a Java-developer in J2EE (JSP, Servlets, JDBC, EJB, JMS, Struts) for more than a year; Professional work experience in the development of multi-layered client-server applications, client and server Web application components; Professional work experience in Oracle and MS SQL databases; Experience in IBM WebSphere, WebLogic, JBoss, JRun; Ability to develop quality code, apply proper language constructions, and use quality algorithms; Willingness  to increase your competencies and professionalism; Ability to identify problems on the fly, separate joint moments; Basic knowledge of English language. Desired qualifications: Ability to responsibly complete assigned tasks according to deadlines; Highly productive: ability to work under pressure, adapt to dynamic business environment, make decisions and take responsibility; Energetic, capable of being a team leader; Ability to appropriately make decisions on issues of different complexity for areas of responsibility; Ability to express your thoughts clearly.",,Java Developer,"A leading American software development company is
actively looking for Java developers for complex and long-term projects.
The position entails working with Sun and IBM products, portal solutions,
the latest Java technologies, and Documentum products  the world leader
in EDMS solutions. The projects will deal with large, well-known
customers.","- Software development according to requirements;
- Complete work according to deadlines;
- Follow the team rules working on projects."
794,Good knowledge of PL/SQL programming language; Very good English speaking and writing skills.,,Database Admin/Dev,"Creating stored procedures and/or triggers for
databases.",
834,"Minimum 3 years of experience in game industry; MS in Computer Science or closely related field;  Experience including C/C++ and Assembly; Excellent written and verbal communication skills;  Self-motivated, creative, detail and multi-task oriented, assertive, problem solver and a team player;  Strong time management skills with a proven ability to focus on priorities, multiple tasks and meet deadlines.",,Software Engineer,"Yerevan based Gaming Company needs Game Programmer to
be responsible for designing major game program components including 3D
and 2D graphics engines, physics, special effects, network, collision
detection, object and camera animation, math functions, data sets,
hardware-interfaces, development and debugging components and interfaces
to tools.","- Actively identify and implement tools, resources, new technologies and
innovations for the project;
- Work with designers, graphic artists and management in the development
of the project;
- Fast 3D graphics algorithms and mathematics; 
- Real-time, high performance code practices and optimization
techniques."
843,2+ years of experience in Photoshop; 1+ years of experience in 3DMAX; High Art School diploma.,,Graphic Designer,"Expanding company based in Armenia is looking for
Graphic Designer to work on content development and game design for
mobile phones.","- Communication of major design decisions and issues;
- Deep knowledge in design tools & techniques;
- Production of concept design documents;
- Working with Technical, Art and Audio leads;
- Playing the game and insuring it is fun;
- Previous experience in games industry is a plus;
- Role will involve game design (concept, graphics) and level design."
883,"Professional skills: Advanced knowledge of OOP; Professional work experience in projects as a Java-developer in J2EE (JSP, Servlets, JDBC, EJB, JMS, Struts) for more than a year; Professional work experience in the development of multi-layered client-server applications, client and server Web application components; Professional work experience in Oracle and MS SQL databases; Experience in IBM WebSphere, WebLogic, JBoss, JRun; Ability to develop quality code, apply proper language constructions, and use quality algorithms; Willingness  to increase your competencies and professionalism; Ability to identify problems on the fly, separate joint moments; Basic knowledge of English language. Desired qualifications: Ability to responsibly complete assigned tasks according to deadlines; Highly productive: ability to work under pressure, adapt to dynamic business environment, make decisions and take responsibility; Energetic, capable of being a team leader; Ability to appropriately make decisions on issues of different complexity for areas of responsibility; Ability to express your thoughts clearly.",,Java Developer,"A leading American software development company is
actively looking for Java developers for complex and long-term projects.
The position entails working with Sun and IBM products, portal solutions,
the latest Java technologies, and Documentum products  the world leader
in EDMS solutions. The projects will deal with large, well-known
customers.","- Software development according to requirements;
- Complete work according to deadlines;
- Follow the team rules working on projects."
888,Higher education; Knowledge of Oracle 9.1 and SQL; Team worker.,Everybody,Programmer,"We are looking for a dedicated and sociable person to
fulfil the position of the Programmer.","The incumbent will be responsible for:
- System integration;
- Architecture of database;
- Programming and linking of system integration."
925,Good knowledge of PHP and MY SQL; At least 5 years of work experience as a Software Engineer; Good knowledge of English language; Ability to work under pressure.,,Software Engineer,"CIT ltd is currently seeking for qualified candidates
for Software Engineer position to participate in its projects.",
933,"Higher or secondary education in arts; Minimum 1+ years of experience in graphic design; Excellent knowledge of graphic software (Adobe PhotoShop, Coral Draw, Illustrator Quark Express desired); Knowledge of printing processes is desired; Ability to draw; Common knowledge of English language; Team player, self started with high sense of responsibility; Ability to work alone on a project within required deadlines.",All qualified candidates,Graphic Designer,"Job will include but is not limited to the development
of graphic design and technical design for polygraph products.",
982,Good knowledge of PHP and MY SQL; At least 5 years of work experience as a Software Engineer; Good knowledge of English language; Ability to work under pressure.,,Software Engineer,"CIT ltd is currently seeking for qualified candidates
for the position of Software Engineer to work on the projects.",
989,"Proficiency in ASP, ASP.NET, C++, C#, Java Script; And/or excellent knowledge of MS SQL; Minimum 1 year of relevant work experience.",,Programmer,"Boomerang Software LLC is currently seeking for a
committed individual to fill the vacancy of the Programmer.",
1007,"Knowledge of Visual Basic, SQL; Knowledge of web programming; Knowledge of Windows XP and Windows 2000 operational systems; Desired Qualifications: Knowledge of theory of coding (encryption); Knowledge of Armenian Software applications; Practical experience; General understanding of Finance/Insurance.",,Programmer,"Cascade Capital Holdings (CCH) CJSC is looking for
motivated, self-driven, highly professional candidates for the position
of Programmer. 
Initially the incumbent will be responsible for a specific software
development task to be accomplished within six months. Then, if
necessary, the employment will be prolonged. The programmer will work
under supervision of the CCH IT manager. 
We are looking for a well organized and hard working person able to work
in a western-style office environment towards the achievement of team
goals.","- Development of Finance Specific software;
- Other relative tasks as necessary."
1031,"Higher education in the field of art-design or polytechnics; Knowledge of the Illustrator, Corel Dra and 3D programs.",,Graphic Designer,"The company is looking for a dedicated person, ready
to fulfill the position of a Graphic Designer. He/she will design
industrial tools for the company and make the design of the certain
items within the time set by the company.",
1048,"Higher education in the field of art-design or polytechnics; Knowledge of the Illustrator, Corel Draw and 3D programs.",,Graphic Designer,"The company is looking for a dedicated person, ready
to fulfill the position of a Graphic Designer. He/she will design
industrial tools for the company and make the design of the certain
items within the time set by the company.",
1052,2+ years of working experience with PhotoShop; 1+ year of working experience with 3DMAX; High Art School diploma; Deep knowledge of design tools and techniques; Previous games industry experience is plus.,,Graphic Designer,"Gaming company based in Yerevan is looking for a
dedicated person, ready to fulfill the position of a Graphic Designer.","- Produce concept design documents;
- Work with Technical, Art and Audio leads;
- Play the game and insure it is fun;
- Role will involve game design (concept, graphics) and level design."
1065,"Higher education (at least Bachelors degree); Fluent in English and Armenian languages, Russian is an asset; Strong communication and analytical skills;  Minimum 5 years of experience in web development; Ability to work independently; Excellent knowledge of website development and administration;  Expert level understanding of cross-browser coding requirements; PHP development experience; Web server configuration experience; Database integration experience; Experience of working with HTML/XHTML, DHTML, CSS, JavaScript; Familiarity with scripting languages such as Pearl; Experience of working with Macromedia suite of web design and publishing tools; Knowledge of Adobe Photoshop, Illustrator, Macromedia Flash.",,Web Developer,"Armenian Foreign Ministry is seeking for a Senior Web
Developer to join the MFA Web Designers' team.","- Develop, maintain and enhance the MFA websites;
- Analyze/process MFA web statistics and participate in SEO policy
developing;
- Liaise with the Editorial staff and oversee web design team and
interns;
- Responsible for office networks and website equipment/ activities;
- Be responsible for the maintenance and functioning of the web sites,
servers, computers, and multimedia equipment."
1087,"Good knowledge of PHP/HTML/JavaScript and MySQL server; At least 5 years of work experience as a Software Engineer, At least 3 years of work experience with PHP; Availability of developed web-sites (please provide with hyperlinks); Good knowledge of English language; Mature.",,Software Engineer,"CIT Ltd. is currently seeking qualified candidates for
the position of Software Engineer to work on projects. The incumbent will
work under the guidance of Head of the Department of Programming of
Automated Administration and Internet Systems and will report directly
to him.",Program code and DB structure development.
1123,"Bachelors degree in Computer Science or related discipline; 4+ years of object oriented MS Windows C++ development to include experience with C#, enterprise-class system architecture and design or equivalent combination of education, skills and experience; Demonstrated record of designing and implementing high quality software products delivered to market; Extensive knowledge of Windows platform technologies including Win32 API, COM, threading and sockets; Strong problem-solving skills and ability to be a successful member of a team; Basic English language skills and ability to develop those skills; Desire experience with distributed application architectures, UNIX platforms, interaction with off-shore development teams; Desire knowledge and application of software development methodology  prefer UML.",,Software Developer,,"- Gather and produce requirements and designs.
- Write and test code for the required product;
- Accurately plan software development activities and follow established
processes;
- Share knowledge, mentor peers, listen and heas team members positions
and provide a fair evaluation of differing opinions;
- Work productively as part of a software development team;
- Communicate effectively with management and with team members;
- Keep commitments;
- Have a command of current technology;
- Actively participate in discussions regarding technical issues."
1141,"Strong object-oriented design skills; Strong analysis and problem solving skills; Strong math skills; Experience with a full product development cycle; Ability to anticipate and prevent problems; Ability to meet a schedule; Communications skills, ability to work well individually and as part of a team of programmers; 3-5 years of experience programming in C++; Passion for computer games.",,Software Engineer,"Candidate will be involved in the architecture,
design, development and maintenance of networking systems and middleware
for multiplayer gaming on Pocket PC and cell phone wireless devices,
delivering flexible and scalable solutions. This individual will work in
a team setting to help with the specification and development of
specialized custom servers, application servers, and client interfaces.",
1145,Excellent knowledge of Photoshop and Corel Draw; Previous work experience; Ability to perform multiple tasks at the same time.,,Graphic Designer,"Thomas Twining teahouse is looking for a dedicated
person to fulfill the position of a Graphic Designer.","- Produce concept design documents;
- Perform various tasks with Photoshop and Corel Draw."
1147,"The candidates should have software development experience with Web Technologies (Servlets, JSP), Microsoft Technologies (ASP , COM/COM+, IIS,C#, ASP .Net), Server Technologies (Microsoft SQL Server), Web-based Technologies (Web Services, XML, HTML, DHTML, Javascript); Strong object-oriented design skills; Strong analysis and problem solving skills; Experience with a full product development cycle; Ability to anticipate and prevent problems; Ability to meet a schedule; Communications skills, ability to work well individually and as part of a team of programmers; 3-5 years of experience programming in JSP, ASP.NET, XML.",,Web Developer,,
1165,"Excellent knowledge of English language; University degree; At least 3 years of experience with MS development tools (Microsoft C#, .NET, VB .NET); Excellent knowledge of IT security; Knowledge of C/C++ is a big plus; Knowledge of Linux/UNIX is a big plus.",,.NET Developer,"LinkGard Systems, LLC is seeking a highly experienced
Senior Software Engineer that can design and develop Microsoft
Applications. We need ethical, energetic, and highly motivated
individuals with full software development life-cycle experience.","- Manage a software development team;
- Design and analysis of software applications;
- Application development using C#, VB .NET;
- Work with relational databases including MSSQL and MySQL;
- Write documentation in English."
1174,"University degree in computer science, software engineering, applied mathematics or a similar education; More than 5 years of experience with databases, system development, server technology, network and system administration, WAN/LAN setup and management; Experience in working on projects on/with law enforcement; Profound knowledge of Oracle, MSSQL 2000; Profound knowledge of Operating Systems, TCP/IP protocol, routing, network security; Knowledge of scripting tools and languages is desired; Analytically strong, excellent organizational skills, ability to handle multiple priorities; Good communication and teamwork skills, attention to details, ability to work under pressure and independently; Knowledge of technical English language. Other Conditions and Requirements: The incumbents shall work under the overall supervision of the Project Team; The resultants of the performed assignment will become the property of the UNDP Project and should not be used without permission of the UNDP Project.",,IT Specialist,,"The incumbents, under the overall supervision of
the Project Coordinator and the Project Associate, will be responsible
for provision of the following tasks: 
- Research the existing technical capacities and assess Criminal
Intelligence Software of the Law Enforcement Agencies;
- Identify the gaps in the software systems, local networks and
databases for purposes of uniform generation, maintenance and retrieval
of data on above-stated areas;
- Determine the nature and extent of necessary changes, conversions of
installed software and databases into uniform software system,
development options of On-Line regime communication;
- Review and propose recommendations with regard to High-Tech Security
Solutions;
- Consult with the Law Enforcement Bodies specialists on specific
issues;
- Ensure competent and timely performance on the assignment, cooperate
constructively with team members, provide for the integrity with the
Project goals and objectives and provide high quality deliverables."
1176,"Knowledge of Visual Basic, SQL Server, SQL and MS Access; Knowledge of C++ is an advantage; Knowledge of Armenian, Russian and English languages; Knowledge of technical English language.",,Programmer,,
1187,"Professional skills: Advanced knowledge of OOP; Professional work experience in projects as a Java-developer in J2EE (JSP, Servlets, JDBC, EJB, JMS, Struts) for more than a year; Professional work experience in the development of multi-layered client-server applications, client and server Web application components; Professional work experience in Oracle and MS SQL databases; Experience in IBM WebSphere, WebLogic, JBoss, JRun; Ability to develop quality code, apply proper language constructions, and use quality algorithms; Willingness  to increase your competencies and professionalism; Ability to identify problems on the fly, separate joint moments; Basic knowledge of English language. Desired qualifications: Ability to responsibly complete assigned tasks according to deadlines; Highly productive: ability to work under pressure, adapt to dynamic business environment, make decisions and take responsibility; Energetic, capable of being a team leader; Ability to appropriately make decisions on issues of different complexity for areas of responsibility; Ability to express your thoughts clearly.",,Java Developer,"A leading American software development company is
actively looking for Java developers for complex and long-term projects.
The position entails working with Sun and IBM products, portal solutions,
the latest Java technologies, and Documentum products  the world leader
in EDMS solutions. The projects will deal with large, well-known
customers.","- Software development according to requirements;
- Complete work according to deadlines;
- Follow the team rules working on projects."
1197,"University degree in Computer Science or other related field; At least one year of work experience in a similar position; Knowledge of Visual Studio. Net, Visual Basic, HTML, ASPX, Graphical packages; Ability to work under pressure and meet deadlines.",,Programmer,,
1241,"Bachelors degree in Computer Science or related discipline; 3+ years of object oriented MS Windows C++ development to include experience with C#, enterprise-class system architecture and design or equivalent combination of education, skills and experience; Demonstrated record of designing and implementing high quality software products delivered to market; Extensive knowledge of Windows platform technologies including Win32 API, COM, threading and sockets; Strong problem-solving skills and ability to be a successful member of a team; Basic English language skills and ability to develop those skills; Desire experience with distributed application architectures, UNIX platforms, interaction with off-shore development teams; Desire knowledge and application of software development methodology  prefer UML.",,Software Developer,,"- Gather and produce requirements and designs.
- Write and test code for the required product;
- Accurately plan software development activities and follow established
processes;
- Share knowledge, mentor peers, listen and heas team members positions
and provide a fair evaluation of differing opinions;
- Work productively as part of a software development team;
- Communicate effectively with management and with team members;
- Keep commitments;
- Have a command of current technology;
- Actively participate in discussions regarding technical issues."
1282,"Bachelors degree in Computer Science or related discipline; Excellent skills and recent experience with C/C++ & VC++; Good knowledge and understanding of advanced Microsoft Technologies (OOP, MFC, COM/ATL, .NET); Understanding of full project lifecycle: modelling, software design, coding, testing; Experience with .NET & C# is a plus, must be willing to learn these technologies as/if needed; Good mathematical background and knowledge in algorithms  development and optimization is a plus; Programming in UNIX (Linux in particular) and/or Mac platforms is plus; Strong problem-solving and communication skills and ability to be a successful member of a team; Basic English language skills and ability to develop those skills.",,Software Developer,"AccuSoft-AM LLC is looking for Software Developers
with experience in multi-platform application design and development for
expanding current team.",
1385,"BS in CS/EE with at least 2 years of experience in software development; Familiar with programming and software development cycle; Ability to design algorithms and data structures; Knowledge of C/C++ together with STL library; Knowledge of Linux and scripting languages (PERL, TCL) is a plus; Good English language skills in writing, reading, listening comprehension and oral communication.",,Software Engineer,"The Software Engineer will be engaged in software
design and development.","- Software development for IC design;
- Work on routine problems with some guidance from  senior level
managers and other engineers."
1451,"Higher technical education; Excellent knowledge of Informix, Unix systems; Several years of work experience as a Database Administrator.",Everyone,Database Admin/Dev,"We are looking for a dedicated person, ready to fulfil
the position of Database Administrator.","Database administration, installation, backup
administration, optimization in Informix and Oracle Database, Unix
systems."
1480,"At least 3 years of experience as a Web Developer/ Programmer with great skill in programming languages as: PHP, HTML, XHTML, CSS, JavaScript/VBScripts; Good knowledge of database creation and maintenance, DBs such as MsSQL, Access, mySQL, Oracle; Good web server knowledge as well as a good understanding of communication technologies such as TCP/IP, Proxies, FTP, and Shell; Impressive portfolio of previous design work. Please include links to relevant work online that is old and/or recent as well as references to assist us in verifying the information that you provide; Enthusiastic and communicative team member with a positive attitude, dedication and willingness to work hard often under high production pressure; Fair knowledge of English language and a high standard of mathematics; Ability to learn new internet and authoring technologies relevant for web site development; Highly motivated, detail oriented, self-starter; Ability to handle tight deadlines and simultaneous multiple projects.",,Web Developer,,"The Web Developer is responsible for writing
scripts and programs, generating interfaces, integration of flash pages
and maintaining our clients databases on daily basis."
1492,"BS in CS/EE with at least 2 years of experience in software development; Familiar with programming and software development cycle; Ability to design algorithms and data structures; Knowledge of C/C++ together with STL library; Knowledge of Linux and scripting languages (PERL, TCL) is a plus; Good English language skills in writing, reading, listening comprehension and oral communication.",,Software Engineer,"The Software Engineer will be engaged in software
design and development.","- Software development for IC design;
- Work on routine problems with some guidance from  senior level
managers and other engineers."
